BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
106,20210927,59483.90245,412.18,5.5,114.38,0.629,17.6,7.042,350,4.8,200.03,0.96,8.265
107,20210927,59483.90245,412.18,8.1,9.13,0.074,2.071,0.8285,100,7.83,28.63,0.224,0.5508
108,20210928,59484.81506,411.51,2.79,12.88,0.036,1.008,0.4031,300,2.18,18.38,0.04,0.2956
109,20210928,59484.81507,411.51,6.97,13.2,0.092,2.575,1.03,200,6.39,31.52,0.201,0.9897
110,20210928,59484.81508,411.51,5.33,6.38,0.034,0.9517,0.3807,100,5.15,19.82,0.102,0.2508
111,20210928,59484.81519,411.51,2.04,10.79,0.022,0.6158,0.2463,100,2.58,56.11,0.145,0.356
112,20210928,59484.81554,411.51,5.29,8.12,0.043,1.204,0.4814,200,3.58,20.11,0.072,0.3538
113,20210928,59484.81563,411.51,10.61,65.59,0.696,19.48,7.792,250,8.35,149.99,1.253,7.701
114,20210928,59484.81572,411.51,6.33,109.44,0.693,19.4,7.759,500,5.67,109.47,0.621,7.636
115,20210928,59484.81608,411.51,10,41.4,0.414,11.59,4.635,250,8.37,83.38,0.698,4.288
116,20210928,59484.81608,411.51,12.21,171.17,2.09,58.5,23.4,450,11.07,188.74,2.09,23.12
117,20210928,59484.8162,411.51,4.42,14.93,0.066,1.847,0.7389,200,4.2,33.63,0.141,0.6942
118,20210928,59484.81648,411.51,5.72,66.95,0.383,10.72,4.288,200,5.11,166.25,0.85,4.178
119,20210928,59484.81656,411.51,6.19,157.4,0.975,27.29,10.92,350,5.32,225.18,1.198,10.31
120,20210928,59484.81656,411.51,5.07,10.06,0.051,1.428,0.571,100,4.46,40.27,0.179,0.4411
121,20210928,59484.81706,411.51,6.9,117.29,0.809,22.64,9.058,250,6.35,257.01,1.631,10.03
122,20210928,59484.81711,411.51,5.49,298.76,1.64,45.9,18.36,350,4.97,397.86,1.978,17.02
123,20210928,59484.81711,411.51,4.52,10.63,0.048,1.344,0.5374,150,4.19,43.88,0.184,0.6785
124,20210928,59484.81711,411.51,17.91,237.31,4.25,119,47.58,450,17.54,263.04,4.615,51.05
125,20210928,59484.81756,411.51,6.2,193.85,1.201,33.62,13.45,450,5.15,208.08,1.071,11.85
126,20210928,59484.81756,411.51,9.94,265.82,2.643,73.98,29.59,250,8.39,547.94,4.597,28.25
127,20210928,59484.81778,411.51,5.67,9.16,0.052,1.456,0.5822,100,4.15,39.07,0.162,0.3986
128,20210928,59484.8178,411.51,3.24,21.27,0.069,1.931,0.7725,200,3.52,50.21,0.177,0.8688
